rank,player,team,position,opponent,stat,direction,recent_avg,dvp_value,projected,score
1,Cade Cunningham,DET,PG,MIL,PTS,OVER,30.4,27.2,29.1,111.8
2,Cade Cunningham,DET,PG,MIL,PRA,OVER,46.8,41.9,44.8,111.7
3,Josh Hart,NYK,PF,CHA,AST,OVER,7.0,5.3,6.3,105.7
4,Bam Adebayo,MIA,C,DAL,PTS,OVER,18.8,24.8,21.2,75.8
5,De'Aaron Fox,SAS,PG,ORL,PTS,OVER,25.8,27.8,26.6,74.2
6,Dyson Daniels,ATL,SG,LAC,PRA,OVER,29.0,39.3,33.1,73.8
7,Cooper Flagg,DAL,SF,MIA,REB,OVER,7.5,8.7,8.0,69.0
8,Tyler Herro,MIA,SG,DAL,PRA,OVER,32.4,37.8,34.6,68.6
1,Sidy Cissoko,POR,SG,CLE,PTS,UNDER,4.5,21.9,11.5,389.3
2,Tre Jones,CHI,SG,BKN,REB,UNDER,1.3,5.7,3.1,350.8
3,Sidy Cissoko,POR,SG,CLE,PRA,UNDER,8.3,32.8,18.1,316.1
4,Davion Mitchell,MIA,PG,DAL,PTS,UNDER,8.2,21.4,13.5,261.0
5,Myles Turner,MIL,C,DET,REB,UNDER,5.6,12.7,8.4,226.8
6,Drew Eubanks,SAC,C,HOU,REB,UNDER,4.3,11.7,7.3,217.7
7,Sidy Cissoko,POR,SG,CLE,AST,UNDER,2.0,5.0,3.2,200.0
8,Luke Kornet,SAS,C,ORL,PTS,UNDER,8.0,19.5,12.6,195.0
